['FfD', ['ZjlzJp', ['qqgsyZnnsZ'], ['qqgsyZnnsZ'], ['FfD']], ['JoxfYdgSu', ['qqgsyZnnsZ'], ['CGlr'], ['CGlr']]]
{'CGlr': ['dnFmuZTR', 'WMLmDfhIFK', 'm', 'qRGJj', 'LNGzQRzoqM', 'HX', 'vYR', 'TrNj', 'cKHvIBwA', 'eIDTUGbbp', 'Sghvba', 'mXUCp', 'ozCIIlSNJW', 'YuZEo', 'mioOdq'], 'qqgsyZnnsZ': ['KLG', 'DCfpJoU'], 'druMElE': ['KtNaMdWFg', 'stt', 'VILeJF', 'V', 'hmp', 'bwcnn', 'xZGucrb', 'winKUQYzv', 'FLIRJdA', 'pcrPJmftgT', 'uLxTeNYH', 'XCcxdkpqRH', 'WKgnbYZ', 'Ms'], 'DB': ['w', 'zAvGxWjbY', 'dXrDyEnArZ', 'UvygPvF', 'kQNbloOU', 'jhYuS', 'dvZdIZfIx', 'SKFecN', 'PX', 'AecWm', 'mwekSf', 'hbJiGWAC', 'wG', 'KD', 'HNinklj', 'dWSec'], 'JoxfYdgSu': ['OfqN', 'qmIvUFG', 'XrTihEYx', 'mCYHp', 'n', 'Ado', 'R', 'P', 'Y', 'Gv', 'W', 'bPc', 'zpehNTYP', 'tsGLVNPvL', 'E', 'QXC'], 'hnoZTaP': ['imclgeeONx', 'iqPsIk', 'wz', 'oLXbRfaOVl', 'dyznHxb', 'iiBYvm', 'UISPfgE', 'iiZoPlr', 'gntUyCQxE', 'djqH', 'DwNpyBOji', 'HGwAxOJ', 'igAskYkMv'], 'U': ['lpwaZuYly', 'dTYEI', 'ofwKK', 'Apllph', 'KULrvSJ', 'Flxsgb', 'L', 'BKbw', 'nKnjw', 'EfRpNF', 'zvgu'], 'qgj': ['wwFpdlAJ', 'MMnP', 'l'], 'ZjlzJp': ['nXO', 'IqiYJsVDuP', 'IXHVmT', 'bWJmSnws', 'lNDFgP', 'cnFQ', 'DnEwaAwIs', 'vyIvHDmg', 'cxMMXXWLQ', 'kBaMpyejTg', 'WyW', 'rLjchkPpjv', 'DrRidS', 'keKGVkB', 'UROY', 'psvbpxyme'], 'FfD': ['JN', 'pG']}
100
['iqPSIk vYR sGhvba oFWKk ms iIbyVM', False]
['klG dCfpjOu jn klg tRNJ CkHViBWA', True]
['wiNkuqyzV L cnfQ DrRidS IQiYjSvDup V', False]
['dcfpJOU KlG PG klG LNgZqrzOQm sGhvba', True]
['DcFpjoU kLG jn KLG YuzEO eIDTUgbbp', True]
['KLG DCFPjoU pG DCfPjoU wmlmdFhifk mioODQ', True]
['jhYuS', False]
['KLG DCFPjOu pg dCFPjOu sGHVBA OZciiLsNJW', True]
['KTnAMDwFG ZaVGXwjBy VYR dXRdYEnArZ DWSEC QrGjJ DcFPJoU LpWaZUYLY ZaVGxWjBY trNJ', False]
['kLG dcfPJoU jn klG MXuCp WmLMDFHIFk', True]
['DCFpJou KLg JN KlG SGHvba MxUCP', True]
['dCFpjOu dCfpJOu Jn klg QrgjJ DnfmuzTR', True]
['dVzDiZFix MiOodQ wWFpDlAj ZAVGXwJBY', False]
['DcFPJou DcFpJou jN KlG m lngzqRzoqM', True]
['kLg dcfpJOu Pg KLG trNJ VYr', True]
['DcFPJOu Klg pg klg LNGZQrZOqm TRNJ', True]
['dCfpJOU KLg pG Klg Hx m', True]
['dcFpJou Klg pg KlG LnGZqRZOqM VYr', True]
['KLG klG Pg DcfPjoU qRgJj qRGJj', True]
['dCFPjOu klg pg KlG mxUcP LNGzqRZOqm', True]
['DcfPjOU KLg pG DCFpjoU M OzCiilsNjW', True]
['EIDtugbBp', False]
['dCfpJou Klg jN DcFPjou m qrgJJ', True]
['dcfpjoU kLg Jn KlG YuZeO SgHvbA', True]
['kLg dcFpjoU Jn dcfPJOu EidTUGBbP WMLMdFhiFk', True]
['URoY kEKgvkB qXc MxUCP oFQn LnDFGp ZpEHnTyp', False]
['dCFpJOU DcfpjOu Jn DCfpjou oZCIILSnJW vYR', True]
['klg DcfpjoU jN DCFPJou mIOodQ QRGjj', True]
['Klg DcFPJoU pG kLg mioOdq HX', True]
['KLG DCfPjoU pG KLg SGHVbA m', True]
['DcFpJOu dcFpJOu jn DCFpjou WMLmDfhiFk EIdTUGbbP', True]
['KLg DcFPjOU Jn DcFPjOU OzCIIlSNjW ozcIILSNJW', True]
['dCfPjOU DCfPjou jN Klg qRGJJ mIOoDq', True]
['kLG KLg jn KlG tRnj MXucp', True]
