['caJtNKjrDj', ['NHMnzCiNFA', ['tB', ['NHMnzCiNFA', ['SKCepHLwR'], ['bRLt'], ['NnHRAj']], ['NHMnzCiNFA', ['P'], ['eLifKxuGUc'], ['GQtlVFFvd']], ['caJtNKjrDj', ['caJtNKjrDj'], ['caJtNKjrDj']], ['LhlJem', ['hiBem'], ['hiBem']], ['bRLt', ['SKCepHLwR'], ['KTLlufIf']]], ['bRLt', ['P', ['yItOcdFQWw']]]]]
{'WG': ['JuJDvLqHGv'], 'bRLt': ['P', 'uFfaEPZzIY', 'JEjiJyORc', 'QcnUwBY', 'hCETN', 'XwYWyppS', 'nZgcIc', 'iaG', 'ZUW', 'ZEDoGCKapv', 'FsA', 'es'], 'caJtNKjrDj': ['QL', 'paU', 'lTYjr', 'O', 'ghNGvKU', 'iTKRCQdK', 'hmGSyGnnrf', 'LWPuoVdnY', 'GVsZPe'], 'NHMnzCiNFA': ['MS', 'kot', 'RPV', 'TX', 'nUYsiZDAY', 'QkWOyrlyI', 'TFL', 'oZJsrGgSsh', 'BiUTNPKB', 'mmnk', 'jYZi'], 'P': ['QqFyEPdLf', 'irgON', 'OZSa', 'FlH', 'ffZF'], 'GQtlVFFvd': ['X', 'uGvv', 'sCWJP', 'hNyvlao', 'JwSUrta', 'KqSNS', 'ceoY', 'DsZXE', 'M', 'WELlDFi'], 'hiBem': ['iG', 'MpZe'], 'KTLlufIf': ['ftn', 'BbUpbU', 'wtkrvr', 'jSeCAL'], 'NnHRAj': ['lTE', 'kklYdRJIi', 'mJTQePr'], 'SKCepHLwR': ['hQgtn', 'rXnta', 'r', 'ZarFBQSjH', 'yLEfYY', 'NbjARuUbtv', 'FSoO'], 'iKb': ['pgNHP', 'NSwpFBT', 'ozCmf', 'JGkYGZynUz', 'adccCZbAvK', 'JNgw', 'volnBl', 'WlH', 'Fz'], 'LhlJem': ['oGd', 'wzJKfrZ', 'nmZQSPS', 'HrhAPsd', 'ccqHIPl', 'FOwxxh', 'VIzZwDNR', 'ha', 'DWt', 'hEwZkI', 'orxHOuiOxB', 'vJWouUtk'], 'FupUTqPU': ['PI', 'yNpEBv', 'EmCbavQPx', 'nHEh', 'KoNU', 'tS', 'DLgLYgv', 'DjPSY', 'cSzFTLTiGf', 'oM', 'mXUMjdZfn', 'GKn', 'yDM', 'hHBCl'], 'yItOcdFQWw': ['ZQqliB', 'UVVbsrXK', 'hQRIG', 'BzVw', 'znhEOHme', 'AgxhPVeXAU', 'ioAik', 'fdHEJuO', 'Ic', 'zpOcyOeHlh', 'JsZKi', 'nmvpn', 'UoDZZQuGj', 'U'], 'tB': ['VXvfW', 'jIns', 'KbtJufoiox', 'hPNxUMUHM', 'MoBcSefDff', 'ZyJvS', 'lYoA'], 'eLifKxuGUc': ['prou', 'B', 'Y', 'KlhfZiWTD', 'i', 'EYmX', 'kEQ', 'lnuYYwKHF', 'MPMqDgRhiC', 'kvzSIjK', 'LGAgofl']}
100
['ylEFYY nZGciC KKlYdRJii fLh LnUyyWKhf M pau gHNgvKU iG MPzE R ftn BZVW', True]
['ZyJvs volnbL dlglYgV ZqqliB hMgSygnnrF NmVPn pi CCqhiPL tx VXVFW Es WtKRvr JGKYgZyNUz Ha kONU PrOU konu', False]
['ZARfbqsjH zedogcKAPv Kklydrjii QQFyEpDlF I JWsUrTA LWpuoVdny o MPZE IG yLeFyy wTKRvr jSzki', True]
['nBJaRuuBtV hCeTN LtE irGoN KLHfZIwtd dSzXE HmGSyGnnRf QL iG mpze rxnTA FTn UOdZZqUGJ', True]
['UvVBSrxk ZNheoHME ccQHIpL gHNGVKu hmGSYGnnRF ZEDoGCkapv I LTyJr', False]
['EmcbAVqpX NSwPFBT AgxhpVeXaU prou csZFtlTIgf NUYsiZDay MmnK UgVV RXntA MxUmjdzFN NbJARuUbtv R cCqHIPl', False]
['yLEFYY QCNUwby KkLydrJIi OzSA KLhFZiWTd kqSns GvszPE GVSzpe ig Mpze zARFbQsjH wtKRvr ZpoCYoeHLH', True]
['r ZedogCKapV MJTqEpr FFzf PROU hnYVLaO o o iG mPzE R wtKrVR bZVW', True]
['NBJARuuBtv zEDogckApv KKlYdRJii FLh Y hNyvLao ITkRcqdK qL MPZE IG R bBUPbu NmvPN', True]
['fSOo Es LTe QQFYEPdLF MPMQDGRhic HNyvlAo ql ltYjR mpzE MPze fSoO Ftn zNhEohmE', True]
['nswPFbT ZArfbqSJh pi u ftn WzjkfRZ hnYVLAo zuw KOnU OZsA FDHejUO Y uvvbsRXK JSZki iAG', False]
['ZarfBqsJH qCNuWbY KkLydrJII ozsa prOU HnYVLAO HMgSYGnNrF iTkRCQDk IG IG NbjARUubtV JSecAl UOdzZquGj', True]
['KQSns GhNGVkU nmvpn B u agxHpVeXaU WtKrvr UffaepZZIY KoT fTn oRXhouiOXb NZGcIc MPmQdGrHIc', False]
['zaRfbQSjh zuw Kklydrjii QqfYePDLf lnuyywkHF hnyvLao qL gvszPe mpZE iG ZArFBqSJH BBUPBU IoaiK', True]
['Ts y NMzQsPs HQrIg vOlnBl p fOwxXh VJwouuTK', False]
['HqGtN OGd UOdZzqUGj fsOO fz O nsWpFBT FsA Y kvZsIJk irgon tX lNuyYwkhf orxHoUiOxB Y', False]
['nBjaRuUbtV QCnuwBy KklyDrJII OzSA Keq x gVsZpE lTYjR MpzE IG rxntA bBUPbu ZQqLIB', True]
['HqGtN zEDOgckAPV KklYDRjii fFzF lGaGoFl UGvV qL PaU MpZE ig zArfbqsJh bBUPBu bZVW', True]
['nBJARUuBTV Zuw lTE ffZf kLhfzIwtd WELlDfI lWPUOvdNY PaU iG Mpze r bBupbu U', True]
['RxntA JEjIJYoRC lTe qQfYepDlF KvzSiJk JwsUrta LWPuOvDNY lTyjr mPZE IG ylefYy wTKrvR uodZzQUgj', True]
['HQgtN JEjijyoRC MjTqepR flh KVzSiJK DSZXe PAu o MpzE mPzE YLeFYY WTKrVR uOdzZqUGj', True]
['nBjaRuuBtv p kKLYdRJii FLh B X O GhNgvKu MpZe MpZe NBJARuUbTV FTN IoAiK', True]
