['rNKDDTXh', ['nT', ['MDyMUFDY', ['L'], ['haNqRcslT'], ['nT']], ['haNqRcslT', ['nT'], ['nT'], ['nT']], ['z', ['nT'], ['MDyMUFDY'], ['L'], ['rNKDDTXh'], ['z']], ['L', ['rNKDDTXh'], ['rNKDDTXh'], ['haNqRcslT']], ['L', ['haNqRcslT'], ['nT'], ['MDyMUFDY'], ['MDyMUFDY']]]]
{'haNqRcslT': ['PagOs', 'HMXwLO', 'nXfZxb'], 'rNKDDTXh': ['AOuGLUsZp', 'VY', 'IkCAXwHl'], 'L': ['q', 'MurmXcw', 'hjsarp', 'DmOG'], 'z': ['wmnpR', 'tfY', 'kgOyvKq', 'RtQoSKB', 'Qj', 'NoURIz'], 'nT': ['fnvDIKsyU', 'MXHsVHPAv', 'x', 'uXpxbKWu'], 'MDyMUFDY': ['ublJNT', 'tM', 'piL', 'AHILVLmbRt']}
100
['x AhiLvLMbRt hmXwLO tm qJ tM x vY UXpXBKWu Q aHilvLmbrt NouRIZ AHILVLmBrT TM nxfZxb uBljNt q pIL', False]
['Q nxfZxb UXPxBkwU X X FNvdiksYu mXHSvhpAV ubLjNT Q AoUgluSZP TFY aOuglUszP iKCAXwHl nxfzXb HmxwLO fNvDIKSYu tM UBlJNt', True]
['HjSarP NxFzXb FnVdIKSYU uxpXBKWu X uxPXbKWu x AHilVLMbRt Q VY RtQoSkB AOugluSzP aOugluszP pagos pAGoS mxHsVhPAv PiL PiL', True]
['Dmog hMxWlo mXHsvHPAv fNvDiKsyu x FnVDikSYu mXhSVHpaV uBLJNt mUrmXCw vy kgoyvkq iKcaxWhL aOuGLusZP nXFzxB NXfZXb x AhilVLmBrt AhIlvlmbRt', True]
['PiL TFy DMOG aHIlVlMBrt nXFZXB ikcAxWHL FNVDiKsYU NXfZxb HMXWLO WMNpR MURMxCw aouglusZp WmNPR Q AOuglUSZp MXHsvHPAv IkCAXWhL mXHsvHPaV HmXwlo aOugLuszp', False]
['UxpxBKWU vy HMXwlo TFY Qj qJ FnvDIKsyu q DMog Q Q NOuRiZ kGoyVkq hMxWLo aOUGLUSzP Q', False]
['Q nxfzxb uXpxBkwU x FnVDIKsyu X MXHSvhpAV uBlJNT q vy wmNpr aOUgLusZp iKCAxwhL NXFZXb PAgOs X tm Pil', True]
['MuRMXcw nxfZXB X mxHsvHPAv x X UxPXbkwu tM dmoG IkcAxWHl RtQOSKb AoUglUSzP aoUGluszp HMXWLo nxfzXb uxpxBKWU PIL pIl', True]
['Q hMxWlo fNVDIksyU mXHsVHPAv fnVdikSYu uxPXBkWu x PiL Q vy WmNPR IkCaXwhL vY PagoS HMxWlo mXHsVHPaV tm uBLJNt', True]
['HJsARP IKCaxwhl hJsArp kGoyvkQ aOugLUsZp FnVdiKsYU DmOG hMXwLO IkCaXWhl HJSarp aouGLUsZP rtQoSKb HmxWLO pIl ublJNT Q muRMXCW mxhsvHpav', False]
['Q PagOs mXhsVHPAv X UXPxBKWu uxpxbkwu mxHsVHpav AhILVLMBRt mURmXCW IKCAXwHl kGoyvkQ ikcAXwhl ikCAXwHl PAGOS PAgOs uxPxbKwu UbLjNt tM', True]
['Tfy fnVdIkSyu Tm tm NoURiz tM nXFzXB qj dMOG HjSaRp dMog fnvDikSyu Dmog Murmxcw', False]
['mURMxCw hmXwLO MXHSvhpAv fnvdiKSYU UXPxBKwU X FNVDiKsYU piL q iKcaxWHL RtqoSKb AOuGLuszP IkCAXWHL PAgos HmxWLo X ubLjnt UbLJNt', True]
['MUrmXCW Qj dMog x UBlJnt aOUglusZp TM mUrmXCw NxfzXB ublJNt UxpxbKwu hJSarP AOUGluszp HMXWLO', False]
['hJSArp HMxWlo x mXHsvhPaV MXhsVHPaV fnVdIKsyU UXPxBKwu aHIlVLmBRt hJsarP aoUGlUSZp Qj IkCAxWHL AOUGLuSZp nXFZxb nxFzXb MXhSvHPAv tM AhilVlMbRT', True]
['MURMxcW pagOS uxpXBkwU uXPXBKWu MXhSvhpav UXPxBKwU fNvdiksYU AHiLvlMbRt q vY kgOYvKq IkcAXwHl aoUGLUSZP hMXwlo pAGOs MXhsvHPav pIl AhiLVLMbRt', True]
['tm IKcAxwhl NXfZXb pAgOs DMOG qJ AOUgLUSzp iKcAXwhl tFy nxFZXB hmXwLo KGoyvkQ aHIlVlMbRT mXHsvhPAV wmnPR X KGOYVKQ mXHSVHPav', False]
['q hMXWlO FnvdIKSYU FNvDIKsyU UXPXbKwu UXpxbkwU mxhSVHpaV ahIlvLmbrT dMoG vY KGoYvKQ IkcAxWHl VY NxFzXb hMxwlo mxhsvHpAv uBLjNT PiL', True]
['MurmXcW pAGOS uXpxBkwU mxHSVHpav X MXHsVhPAv X piL q aouGLusZp tFy ikCaXwHL AoUGLUSzp nXfzXB PaGoS uxpXbkWu piL tm', True]
['hjsARp nXFZxb x x fNVDIksYu FNvDikSYu fnVdIKSyu Tm HJSARp VY qJ ikcAxWHL IkcaXWHl hMXWLO PagOs UXpxbkWu tM PIl', True]
['hjSaRp PaGoS mxhSVhPAv uXPxBkwu UxpxBKwu FnvDIksyU FNVdIkSyu AhIlvlMbRt Q IkCAXwHL NOuRIZ AouGLUSZP iKCaXwHl NXFzXB nxfZxB UxPxbkwU Pil TM', True]
['q NxFzxB X MxhsVHpaV uXpXBKWU fnvdIKSyu UXpxBKWU Pil HjSarp aOugLUsZp nOURIz ikcAxWHL AoUGlUsZp PAgOS nXfZxB x Tm TM', True]
['q hMxwlO UXPXbkWU uxpXBkWu X mxHsvHPAv fnVdIKsyU UBljNt Q aougLuSzp NOuRiz IkcaXwHl VY NxfZxB NxFZXB UXpXBkwU TM ublJNt', True]
['DMOg nXFZxb MXhSVhPaV pIL pagoS KGoyvKQ TfY HJsarp PaGOs WmNPr aouGLUSZp rtQosKB FNVDIKsyU Q DmOG FnvdiKSyU', False]
['dmOG Vy hmxwlo UXPXBkWU hJsaRp MxHsVHpaV PAGOs pIL PIl wmNpr mxHsvhpAv fNVdiKSYU WmNPr uXpxBKwU nXFZxB uBLjNT wMnpr', False]
['kGOYvkQ Dmog VY QJ iKcAXwHL AhIlVLMbRt pAgOs PagOs mUrMxCw UbljnT RtqOSkb VY muRMXcw rTqoSkb kgOyVKq', False]
['mXHSVhpAv iKCaxWHL x hjSaRP hjSArP HJSarP VY q kGoyvKQ nXFZxb hJsarP pil VY', False]
['murmxcW nXfZxb UxpxBKWU UXpxBkwU UXPXbKWu FNvDiKSYU mxHSvhPav PIl HJsarp AOUgLuszp NourIZ vY iKCaxwhl Hmxwlo nXfZxb x UBLJNT ubLjNT', True]
['dmog NxfZXb FNVdikSYU MXhSvhPAV mXHSvhpaV fnvdikSyU MxhsVhPaV TM hjsArp Vy QJ AoUgLUszp vy PaGos pAgOs UxPxbKWu tm uBlJNT', True]
['NxFZXb NXfzXB kGoYvKq UblJNT nxFZXB mxHSVhpAV hmxwLO VY MUrmXCw pAGos mxHSvhPAv hMxWlO HJSarp KgoyVKQ tFY WMNPR X nOuriz AOUglUsZP Qj', False]
['MXHSvhPAV hmXWlo q IKcAXWhL vY NOuRIZ IKCAXwhL HJsarP WMNPR tm Q HMxwlo NXFZxb IKcAxWHL qJ ubLJnt VY Q Q Pil x x', False]
['murMXCW PAGoS MXHSVHPav UXPXbKwu uXpxBKwu MXhSVHpaV fNVdiKsYu ubLjNt Q IkCaXwHL qJ Vy ikcaXwhl PAGOS PAGOs x UbLjNT pIl', True]
['Hmxwlo IKCaxwhl AHiLvlMBRT hjsArP TFY wMnpr DmOG TM NxFzXB HJSaRp RtQoskb iKCaXwHL KGOyVkq iKcAXwHL FnVdIKsYu aOuglUszp uXpXBkwu mXhSVHPaV mxhsvhPAV q NXfzXb', False]
['MuRmxCw HmXwlO x x x UXpxbKWu fnVdiksYU ublJnt dmoG IkCAXWhL Qj IkcAxwHl iKCAXwHL PAgOs NXFZxb uXpxBKWu UBljNt AHilvlmbrT', True]
['muRMXCw hMxWLO FNvdikSyu FnvdikSyu mxHsVHpAV x X uBLjNt Dmog vy wmNPR VY VY hmxWlo PaGoS MxhSVHpav UBLjnT tM', True]
['vY q q PAGOS Q hMXwLO uBljnT mURMxCW AhILVLmbRt MxhSvHPav pAgOs noUriz DMog WmnpR tFy', False]
['q mxHSVHPav vy X fNVDIksYU kGOYvKq paGOS MuRmxcw TFy AOUGLUSZP IkcaXWhL Q pAGOs ahILVLmbRT X tm IKCAXWhl', False]
['UbLjnt NxfZXB pIL UxPxBKwu HJsaRp fnVDiksYU Q iKCAXwHL kGoyvkq AOuGLuSZp hJsARp nXFzxb UbLJnt DMog', False]
['HJsArp nXFZxB FNVDiksyU mxHsVHPav FNVDiKsYu mXhSvhPaV fNvdIKsyu aHilvlMBRt q ikCaxwHl nOuRIZ VY IKcaXwhl pAGoS paGos x UbLJNT TM', True]
['DMOG PAgOS uxpXbKwU uXpxbKWU MxhSVHPAv mxhSvHpav UxpXBKWu piL Dmog IKcAxWHl KGOYVkq iKcaxwhl vy HMxwlo nxfzXb UXPXBKWU UBljNt UBLjnt', True]
['X q iKcaXwhl KGoyvKQ NxFzxB dMog uBljNt ubLjNt nxfZxb UbLJNt dmoG HjSaRP hMxwlo kgoyVkQ VY', False]
['q NXfZXb FNVDIkSYU mXhsVhpav uXPXBkwU mXhsVhpAv x ubLJNt mURmxcW vY WMNpR iKCaXwhl aOUgluSzP nXfzxb HMxwlo uxpXBKwu tm UbLjNt', True]
['aOuGLUSzP x aOuGlUSZp tFy MURMxCw q vY UXPxbkWu PAGOS iKCaXWHL hJsaRp pAGOS FnVdiKSyU TFy HmxwlO mXHSVHpaV FnvDIkSyU', False]
['MuRmXCW nXFZXB x x fnVDikSyu fnVDIksyu X tm dmog Vy tfY Vy Vy nxfzxb NxfzXB uxPXbkWu tM Tm', True]
['mURMXCW NxFzXb X x uxpxBkwu MxHSvHPAV fnvDiksyU UBLjNt DmOg aougLuSZP RTQoSKb AoUgLUsZp AoUgLuszp NXfZXb PaGos mxHSvHPAv ubLJNT uBlJnT', True]
['IKCAxwHl qJ dmoG vy tM tFy Q AouglUSZP KgoyvkQ PIL kgOYVKQ Dmog mURmXCw UxpXBKWU q Vy NoURiZ nxFZXb PiL rTqoSkb', False]
['hJSARp PAGOS X X fNvdiKSyu X X UBlJnT HJsArp aOuGLusZP qj aoUglusZP Vy pAgOs NxfzXb FnvDiKsYu PiL PIl', True]
['hjSarp hMxWLO FNVDIKSYU x MxhsvHpaV x UxpXBKwu pIl Q vy QJ aOUGlUszp vy PAgos nxfZXb FnvdIKSyu aHilVLmBRT PiL', True]
['Q pAGos fnVdiksYu fNvDikSYu mxhsvhpAv uXPxbkWU FnvDiKsYU ubLjnT HjSarP IkCAXWHL RtQOSkb vY ikcAxwHl NxFzXb HmxWlo uXPxbkWU AHilvlMBrT TM', True]
['DmOg aoUGLuszp QJ Q PIL AOUgluSZP iKcaxWHL KgOYVkq RTQOSKb aOUGlusZP WmnpR qJ pIL ubLJnt uxPXBKWu TFy tfy tfy PAGOS noURiz MURmxcW X', False]
['WmnpR QJ wMnPR aouglUSzP KGoYvkq VY tM kGoYVkq nOuriz tfY ikcaXWHL x noURiz tfY tfy UbLJNt', False]
['q PAgOS X FNVDiksYu FnvdIKsyu UXpxBkwU FNVdIKSyu aHILVLMBRT hjSARp IkCAxwHL wmnpR ikCAxwhL Vy NxFzxb nXfzXb X AHiLVlMBRt PIL', True]
['tm mURmXCw HjSaRP qJ ubLjNt dmOg q uXPXbKWu tFY vY hjSArp RtQosKb KGOYvkq', False]
['Q nXFZXB X x x mXHSvhpaV FNVdiKSYu uBLJnT dMoG AOuglusZp tfy vy AoUgLuSzP nxfZXB PaGoS UXpxbkWU AHIlvLMbrT Tm', True]
['q nXFzxb uXpXBkWu FnVdIKsyu MXhSVhPaV fNVDIKsyU FNvDIkSyU AHIlvlmBrt dMOG IkCAXWHl rtQoSkb aOUGlUSzP ikCaxwHl nxFZxb NxFzxB UXPxBkWU PIL pIL', True]
['q hmxwLO x x x UxPxbkWu x AhILVLMBrt HjsARp iKCAxWhL KGOYVKQ VY AOUgLusZp NXfzXB hMXWlO FNVdIKsyu pil TM', True]
['Q PaGOs X MxhsVHPav mXhSVHpaV fNvDIKsYU UXpXbkwU ahIlVlMBRT dMOg AouglUSZP KGOyVkq vy AOUgLuSZp hmxwlo nXFzXB uxpxBkWU uBLjnt tM', True]
['mURMXCW hMxWlO MXhsVHpAV X MxHsVHpav uxPxBKWU fNVdIKSYU UBLjnT dmOG VY Tfy aoUGluSzp aoUGLUSzP HMxWLO PAGOs FNVdIkSyU ubljnt Tm', True]
['WMNPr q TFy VY UxpxbKWU iKCaxwhl Tm UBlJnt HMxwLO Qj HmXwLo ahIlvLmbRt PIL aougLUSZp WMNpR murMxcW qj MXhsVHPav uXpXbkWu MurmxCW KGOYvKQ vY', False]
['murMxCW NxFZXB fnvDIkSYu fnvDIKsyU MxHSVHPaV FNVdIKSyu fnvDiksYu Tm murmXCw aoUgLUSZP qJ iKcaxwhL aouGLUsZP HmxWlO HMXWlO mXHsvHpAv AHiLVlMbRT ubljnt', True]
['MUrMXCw PAGos X uxPXBkWU x x UxpxbkWU piL hjsarP aOugLuSZp Wmnpr vy vy pAGOS HMxWLO fnvdiksyu tm tm', True]
['PIL Qj KgOyVKQ vY Tm hJsarP dMog Tm HJSArp Vy uXPxBkwU HmxWlo Qj Q tFY nxfZXB Tfy RTQOSKb TfY PAgoS', False]
['hjsARp NXfzXb FnVDIksyU fnvdiKsYU uXPXbkwU MxHSVhPAv MXHsVhPaV PIl Q aoUGluSZP RtqOSKB aouGLusZp IkcaXwHL hmXwlO hMxWlO X ahIlVlmbrT ahilvLmbRt', True]
['HjsARp pagOs x mxhSvHpaV X fNvdiKsyu MXhSvHPAv TM DMoG iKCaXwHL WmnpR vy ikCaxwHL HMXWlo NxfzXB UXPXBkWu Tm TM', True]
['aoUGLUszp KgOyvkQ UbLjnT x Qj X aOUgLuSZP RtqoSKb Vy DMoG AouGLuSzP WMNpR WMnpR', False]
['MXHSvhPAV fnVdikSYu q IKcaxwhL aOuglUszP X hJSArp ahiLVLmBRt WMnpr AoUGLuszP hjSaRP TFy tM pIL IkCAxwHl NXFZxb q', False]
['q NxFZXb X fnVDiksYu fNVdikSyU MxHSVhpAV uxpxBkWU aHIlVlMbrT Q AouGlusZP TFy aOuGLUSZP ikcaXWhL PAgOS HmXWLo mXhSVhPav TM tM', True]
['MurmxCw nXfzXB X fNVdIKsYU MXhsvhPAv x fnVDiksyu AhilvLmBRT DmOg VY wMNPr aOUgluszp IKCaXWHL hmXwlO paGoS x aHiLVlMbRt aHIlvLmbRt', True]
['Tm q uBLJnt tfY WMNPr dMog vy paGoS dMoG HmXWlO RtqOSKB hmxwLo dmOg UxpxbkWU ikCaXWhl IkCaxwhl AOugLuSZP KGoYvKQ vY', False]
['iKCAXwhl qJ AoUGlUSZP IkcaXWhL KGoYVKQ nouRiz AOugLUszp uXPxBKWU dmOG MXHSvHPAV HMXwLO MxHSvhpAv x VY murmXcw', False]
['q HMXWlo x x mxhsVHpaV mxhsVHpav FnvDIKsYU pil mUrmxCw VY NouRIZ iKcAXWHl AouGlUszP HMxwLO NXFZxb mXHsvHPav aHILVlmBRt AHILVlMbrt', True]
['q PAgOs X fNvdikSyU uXPXbkWu mXhSVhpaV uxpXbkWU aHIlVLmBRt dMOG IkCAxWHL TFy AOuGluSZP AouglusZP PaGoS HMxwlo UxpXbKwu uBLjnt tM', True]
['MurMxCW hMxwlO x X mxHSvhPAv MxHSVhPAV MXhsvHpav ahILvlMBRT DmOg IkCAxWHL NOUrIz AOuGLUsZp aOUgluSzp nxfZXb pagoS MXhsvHPav UbLJNt uBLjNt', True]
['Q hmxwLo fnvdiksYu UxPxbkWu fnVDikSYu x MXhsvhpAV tM DmOg aouGLuSZp TfY AoUgLuszP AOUglUszP NxFZxb paGOs FNVDikSYu tm AHILVlmbRT', True]
['Q HMXwLo uXPxbKWU fNVdIksYU x FNVdiKsYU x Tm DMog vy nouriZ IkcaXwhl iKCAxWhl pAgoS PAGOS MXhsVhPaV tM TM', True]
['DmOG paGOs MxhSVHPaV UXpXbKWU x FNVdiksYu X AHilvlMbrT muRMxCW iKCaXwHL RTQosKB aouGLUSzp Vy hMXWLo PAGoS uxpXBkWu ubljnt Tm', True]
['UxPxBkWu rTqoSKB x WmNpR dmog mURMXcw HjSarp q HmXWLO aOUGlUszp TM KGOYVkq IkcAXwHl qj IkcaxWHl Pil q hJSarP FnvdiKsYU hjSArP NXFZXB', False]
['DmOg PAgOS X uXpxBKWU X X X PiL DMOG aOuGlUSZp Tfy iKcAxWHl ikCaxWhl NXFzXb HMXwlo x tm pIl', True]
['dmog nxFZXB uxPXBkWu x MXHsvhPAv X MXHsvHPAV Ubljnt MUrMxCw VY wmnPr VY aouGLusZp PagOS pAgOs uXpxbKWu AHilvlmbRT PIl', True]
['RTQoSKB AHiLVlMbRT NxfZXb murMxCw MuRmxcw Qj hmXwLo FnVDIKSYU paGos hMXwlO X TfY IKcaxwhl hJSARP Vy tFy WMNpr q PIl', False]
['dmog NXfzXB FNvdiKsYU X FnvDIksYU UXPXBkWU mXhsvHPAV tM hJSArp VY KGOYVkq aougLusZp ikcaxWHl hMxWlO Pagos UxPxbkWU Tm PiL', True]
['q NXFZxB fnvdIksYU FnvDiksyu X fnVdiKsyU MxhSVhpAv ahILvlMbRt HJSARp Vy tfY VY aOuGLUsZP pAGoS NXFzXb fNVDIKSyU ahIlvlMbrT piL', True]
['Hjsarp nxfZXB UxpXbkwu mxhSvhPav X fnvdiKSyu uxPXBKwU ubLJnt MUrmXCw aOuGlUszP rtqoSkB aoUgLUszp vy HMxWLo PaGOs FnvdIksYu Tm aHiLvLMbRT', True]
['MuRMXCw PagOs MXHSvHPav MxhsVHPav uxpXbKwU mxHsVhPAv x Tm MURMxcw vY wMNpr IkCaXWhL aOuGlUsZp nXfZxb PagoS mxHSvhpAv AhILVLMbrT Pil', True]
['hjsaRP hmXwLO x UXpxBkWu x MxHsVHPAv mXhSVhPAV AHIlvLmbrt HJSARp ikCAxwHl TFy IkCaxwHL vy hMxWLo PAGOS mxHsVHPav uBljnT ubljNt', True]
['MURMXCw nXFZxb mXHsvHpaV UXPXBkWu FNvDIKSyu FnVDiKsYu fnvdIkSYu PIl mURMXcW AOuGlUSzP qj iKCaXWhL AouGLuSzP PaGos PaGoS UXpxBKWU ublJNt tM', True]
['Pagos UXPXBKWu MurmXCw RTQOskB NoURIz AoUGLusZP IkCAxWHl X NxfZXB IkcAxWhL FnVDiKsYu uBljNt PIL MurMXCW nouRIZ hmXwLo WmNPr AoUGLuSZP', False]
['q HMxwLo FNvDiKsyU fnVdiKSYU X MXHsVHpAv X TM HJSaRP ikCaXwhl Qj IkCaXWHl vy NxFZXb NxfZXb uxpxBKwU Tm TM', True]
['vY mxHsvhpAV Q NOURiZ paGOS piL AOUglUSzp FNVdiKsYU DMog MUrmxCw HMxwlO tM pAgoS hmxWLo QJ PaGos KGOyVKQ tm aougLusZP vy', False]
['Q hMxWLO UXpxbkwu MXHsVhPAV x UXPxbkWU fnVdIksyU PiL dMoG IkCaxwHl TfY vY AOUgluSzp hmXWLO hMXwlO MxhSvHpAV aHiLvlmBrt PIL', True]
['dmog hMxWLo UXPXbkWu X uxpxbKWu mXhsvhpav MXhSVhPav AhilVlMBrT Dmog VY kGoYvkq vy IKCaxWhL PAGos NxFZXB uxpXBKWu tM tm', True]
['piL QJ MXHsvHpaV IkcaxWhL KgoYVkQ KGOyvkQ fnvdIksYU QJ pIL PIL qj q RTQOSKB tM AouGlusZP', False]
['dMoG paGos fNvdIKsyU mxHsVhPAV fnVdIKSyu MXHsvhpAV MxhSvhpAv ubljNT mURmxcw IkCaXWhl NoURIz ikcAxWHl aouGlUSzP paGOS PAGoS uxpxBkwU aHIlvlmBRT UbljNT', True]
['q nXFzxb UxPXBkWu X fNVdiKSyu X MxhsVhPaV AHiLvlmbRT Q aOugLUSZp wmnPr AOUGlUsZP VY hmxWLO nXfzXb x aHilvLmbRT TM', True]
['q pAgoS X UxpxbkwU x X MxhSvHpAv TM dMOg AouGlusZp TFY VY Vy nXFZXb nxFzxb mXhsVhPav Pil pIl', True]
['hJsARP nxfZXB UxpXbKWu uXPxbKwU FnvdIKsYu x x UBljnT dMoG AouGlUszP nourIZ AoUGLusZP Vy PagoS paGOs X aHilvLmBRT ahilVLMbRt', True]
['HjsaRP PAgOS MXhsVHpAV x mXHSVHpaV fnVdiKSyu x aHIlvlMbRT MURMxCw vy QJ AOUglUSZP Vy PagOS HmXWLo x ahiLvlmBRT TM', True]
['Vy aHilvlMBrT hMXWLO uXpxBKwU wmnPr kGoyvkQ dMOG MXhsVhpAv mURMXcw rTqoSkB AOUGluSZp fnvDIksYU X WmnPR nxFzXB mxhSVHPaV NOuriZ uBLjNT hmxWlO VY AhiLvLmbRt HMxWLo', False]
['hmXwlO noURIz ubLjNT wmNPR FNvDIksyu WMNpr AOUGLuSZp Tfy FnVdIKsyu PaGOS nxFzxB RTqOSkB aHIlVlMbRT kGOYvkQ q Tm hMXwlo', False]
['dmOG HMxWLO MxhSVHpaV fnvDIksYu fnvdIkSYu mXHSVHpav mXhsVhPAv UbLJNT hJsArP vY NOUriZ AouGlUSZP IkCaxwhL HMXwlO PAGos X AHilVLmBRT Tm', True]
