['YCuWYDrzmv', ['TtVDwZMuwM', ['aaLjvng'], ['l']], ['BVHsDwrKzM', ['l'], ['p']], ['fXpqEf', ['yV'], ['aaLjvng'], ['YCuWYDrzmv']]]
{'YCuWYDrzmv': ['JQPYXttz', 'MruP', 'jqOJpay', 'wRZOSWkv', 'dIJyrkmmX', 'HDrmyrFgtH', 'QeEH'], 'TtVDwZMuwM': ['a', 'dtBLNn', 'HJuwFk', 'KoVB', 'fsbl', 'lypEXtYw', 'U', 'SlzFtriifE', 'J', 'RGLX', 'AwkEHuX'], 'KjpZuNC': ['SHeYNQ', 'EjFZJMZph'], 'h': ['qq', 'lJZVmOMQA', 'lBFcYUa'], 'l': ['Du', 'ieMXLMC', 'GBVZOUD', 'mUuZ', 'HYltI'], 'aaLjvng': ['KYasiiHF', 'LCCJH', 'PuQxGkOY', 'd', 'HqQWyV', 'gtTc', 'TOMd', 'KkxG', 'BIymYrVT', 'ykiCLkDFJy', 'ig', 'uynCD'], 'p': ['BSCHukKUDw', 'tqIteZ', 'KmUdOQmbJi', 'cvC', 'Lm', 'AdTrXGhEXu', 'YT', 'RD', 'zEgZoHVLG', 'TwO', 'HZQDqB'], 'pCde': ['WThdtmIg', 'SYUToiFk', 'dvg', 'wDzux', 'usjvjk'], 'BVHsDwrKzM': ['KErM', 'XhkH', 'spwnUkaj'], 'fXpqEf': ['KWHficjcr', 'mHBgYWgyRA', 'azXd', 'jcKv'], 'yV': ['FzMwZLNK', 'k', 'HkTAUSbsE', 'aRuYRk']}
100
['j kKXG zEgzoHvLG hdRmYrfgTH', False]
['hQQWyv Du IeMXlmc TqiTEZ K kyasiiHF HdrmyrFgTH', True]
['HqqWYV HYLTi du AdtRXGhEXu HKTAusbSe bIYMyRVt wrzOSwKV', True]
['j dU TQItez KMudoQMbjI RgLX adtrxGhExu MRUp', False]
['biymyrvt MUuZ MUUZ TqItEz k BiymYrVt JQojpaY', True]
['YKICLKDfjy gbvzoUD IeMxLmc tqiTez FzmWZlnK iG WrZOsWkV', True]
['d hyltI DU tqitEz FZMwZlNk KYAsIiHF jqOJpay', True]
['HKtAUsBsE pUqxgkOY yT BIYmyRvT xhKH zeGzOhvLg WthDTmiG MuUZ wdzUX', False]
['puQxGKoy rgLX', False]
['yKicLkdfjY mUUz dU KMUdoqmbji k KkXg HdrMYrfGTh', True]
['KWhFicjcr iEmXlmC u HQqWyv AdtrXgHeXU KERM mRuP', False]
['HqQwyV hyLti du TQITEZ hKtaUsbsE kyasIiHF JQpYXtTz', True]
['tOMD Hylti muuz kmUdOqmbji ARuyRk KYasIIhF wrZOsWKV', True]
['aDTRxghexu tqITEz FSbL qQ hzqdQB kkXG JqpYxTTZ', False]
['aruyRk WDZuX hDrmYrfgTh YkIClkDFJy LJZVMOmQa MuuZ', False]
['kYaSiIHF WRzOswKV qQ TOmd Du dIjYrKmMX', False]
['UyNCD iEmxLmC hYLtI KMudoqMbJi FzmWzlNk gtTc mRUP', True]
['Ig gbvzoud MUuZ ADtrxghexU ARuyRk tOMD WRZOSWKV', True]
['KKXG du gBVZoUD two hKTAUSBSE kKXG hdRMyRFGTh', True]
['hKtauSBsE QQ wRZoswkv tQiTEz', False]
['LcCJH dU Du Zegzohvlg fzMwzLnk BIYMYrVt HDrmYrFgTH', True]
['UYncD gBVzouD IeMXlmc twO fzmwZlNk lCCJH qEeH', True]
['UyNcD dU gBVZoUd ADtRXGhexU aRuyRK biyMyrvt jqPYXTtZ', True]
['biymyrVt iEmxLMc dU RD AruYrk KkXG WRZOswkV', True]
['iG Du hyLTi bscHuKkuDW HkTaUsBSE gttc jQpyxttz', True]
['toMd gbvzoud GbVZOUd kmUDoQMBJI arUYrK gttC jqoJPAY', True]
['yKIClkDFJy hyltI Muuz cVC k kKxG JQPYxTtZ', True]
['bIYmyRvT mUUz HylTI CVC aruYrk tomD MruP', True]
['SYutoifK TWO qeEh hKTAUsBse WTHdtMIg aWkeHUx', False]
['K YT SheynQ K', False]
['tomD mUuz hyLtI kMUdoQMBjI K hQQwYv WRzOSWkv', True]
['sheYNq K hjUwFk hQQWYv J hZQDqB xhKH AwkEHuX mHBGyWGyRa kwHFicjCR', False]
['IG du HYlti rD ARUYRk gTTC jQoJpay', True]
['d gBvZOUd dU KMUdoQmBjI hKtAUSBSe hQQwyv QeeH', True]
['Ig gbvzoUd hYltI zeGZohvLG fzMwzlNK hqQWYV mrUp', True]
['ig Du iEmxLmc LM k biymYrVT dIJYRkmmx', True]
['D gbvZOUd DU aDtRxgheXu aRUyrk BIyMyRVt HDRMyRfGTH', True]
['ig IEMxlmc IEMxlmc AdTRXGhEXU K HqqwYV MRUp', True]
['gTTC Du gbvzouD lM FzmWzLNK d DiJYrKMMX', True]
['gtTc du ieMXLMC ZEgzohvLg aRUYrK pUQxgKOY mrUp', True]
['KYaSiIhF dU IEmXLmc Yt aRuYRk ig DIjyrkmMX', True]
['KKxG hyLti DU Rd K kYAsiIHF diJyRkmMx', True]
['puqxGKOY Du iEMxLMC tqITEz k KyASIihF MRUP', True]
['KyaSiIhf mUuZ DU yt HKTausBSE KkxG MruP', True]
['bIYmyrvT Hylti hyLTi hZQdQb K kkxg jQpyxtTZ', True]
['BIyMYRvT iEmxLmc Muuz twO hKtauSbsE PUqxgkoy DIjYRkMMx', True]
['BIYmyRvT HYlti DU TQiTEZ k IG jqOjpay', True]
['kkxG MuUZ GbvzOuD AdtrxGHExu arUYrK BiYMYRVT mruP', True]
['biymYrVt iemXlmc gBVzoud tWo K kkxG MrUp', True]
['KKxG du mUuz RD fZMwZlNk ykICLkDFjy QEEh', True]
['KKxG MuuZ du Lm k ig HDrMyRfgtH', True]
['hqqWYv iEMXLmC iemXlMc RD k kyASIiHF WrZoswkv', True]
['hyLTI kErm qq JqoJpaY wthdtMIg', False]
['sPwNUKAJ k ZEGZohvLG cvC', False]
['kkXG du IEmXlmc rD k iG DIjYRKmmX', True]
['HqQWyv gBVzouD HyLtI Rd k UYncd mRUp', True]
['kkXG HYlti du KMuDOQmBJi hkTauSBse UyNcd jQojPaY', True]
['puqxgKOy SHeYnQ yt KovB HDrmYRFgTH ykicLKDFJY a USJVJk iEMxLmc', False]
['Ig HyLtI HYLtI bSchUKKUDW HktausBsE pUqXgKOy wRZoswkv', True]
['rd CVC', False]
['PuQXGkOy MuuZ HYlti cVc K BiYMYRVT wRZOswKV', True]
['gtTC dU hYLti TqITez hKTaUsbse UyNcD DiJyRKmmX', True]
['TOMd HyLtI IEmxlMC TWo K biYmYrVt MRUP', True]
['A SpWnuKaj IG LYpeXtyW MhBgYwGYrA kmUdoQmbJi JCKv Yt MRUP EjfzJmZph', False]
['SyutOiFK wRZOsWKV FsbL', False]
['hdrmYRfGth KmUdOQMbJI BIYmYrvt ejfZJMzPH wdzuX gbvzOud KErm Du kKxG kERm', False]
['UsjVjk FSbl Tqitez KMudOqMBJi kwhfiCJcr ARuyrk fzmWZlNk hqqWYv slzfTRiIfe d kKxg', False]
['KyaSIiHf gbvZoUd gbVZOuD hZqdQB ARUYRK HQQWyv DijYRKMMX', True]
