['Jwo', ['Gd', ['LyOwWjO', ['Jwo']]], ['JHFmpZ', ['Gd', ['JHFmpZ'], ['SXzrkKFFix'], ['SXzrkKFFix'], ['SXzrkKFFix'], ['RTUowB']], ['bK', ['Gd'], ['JHFmpZ']], ['SXzrkKFFix', ['Jwo'], ['RTUowB'], ['RTUowB']], ['LyOwWjO', ['Gd'], ['JHFmpZ']], ['sopCjha', ['RTUowB'], ['Jwo']]]]
{'SXzrkKFFix': ['mSoxfsL', 'oQzeD', 'QShRTlR', 'hGAtoS', 'uMnMvSCL', 'U'], 'sopCjha': ['XSxnzy', 'HOCijIHiq', 'sY', 'jvCqqso', 'wQHTJ', 'PN', 'QrrSWCYbhI'], 'JHFmpZ': ['UxIfnVjT', 'oCLPIdyKRR', 'HTdv', 'DEqucIGLA', 'UNe'], 'bK': ['jfFheKPAzU', 'gbhlCBz', 'dtsREwx', 'ZCuphMrv', 'lijGVCqHk', 'H'], 'Gd': ['jH', 'MBTC', 'KzkkmZQCpo', 'UVdoo', 'jzFGtog', 'Vj'], 'LyOwWjO': ['bH', 'JuoHIASx', 'WXoOpGstx'], 'Jwo': ['yWKvp', 'hjH', 'NNrNbwrD'], 'YwxfeSyY': ['exjNj', 'rPeEHH', 'EAzCo'], 'RTUowB': ['wuKHkN', 'Dc']}
100
['HJH deqUCIgLA uMNMVscL U mSoXFsl WuKHKn JzfgtOg oClPIDyKRr YWkVp dC dc KZKKMzqcpo Une dC YWKVP', True]
['yWKVp UNE oQZED u UMNMvscl wuKhKN vj uNe YWKvP DC WUKhkN JH dEQUCiGlA DC NNrNbWRd', True]
['nnRNBWrD UNE oQZEd HGatoS u WUKHKN MBTc uxIFnVjt nnRNbWRd Dc Dc mBtc DEQuciglA dC ywkVp', True]
['oqzed JvcqqsO jZfGtOg zcupHmRV vJ u Pn DEQucIGla eaZco RPeEhH DEQUcigla Hjh hgatOs wqHTJ ZCUphMRv hjH une JuOHiaSX', False]
['hJh UNE oqZeD OqzeD umnmVscl wukHkN kzKkMZqcPo uNE nNrnBwRD dc WUKHkN KzkKMzQCPO htDV wukHKN nnRNBWRD', True]
['Pn uNE kZkkMZqCPO WQhtJ Dc EaZCo rPeEHH OQzed nNRnBWrd RPeEhh eXJnj deQuCiGlA h UxIFnVJt YwkVp RpeEHH yWKvp eXJNj UNe', False]
['Ywkvp oCLpidykrr u oQZed QShRtLR wUKHkN uvDoO htdv HJH wukhKN WUkhkn jH OcLPidykrr dC ywKvP', True]
['nNrnbWrD UNe qSHrTlR MSOxfsL qShRtlr wuKhKn Mbtc OclPIDYkRR hJh wUKHKN DC MBtc htdv dC HJH', True]
['QRrswcybHI hoCijiHIq JuoHiASX uvDOo JFfhEkPAZu oclPidYKrr jzfgTog h rpeEhH XSxNzy hTdv H DC Dc Sy hJH JZfgtoG KZKkmZqCPO', False]
['YWKvp uNE MsoxfsL uMNmvscL HgAtOs DC JZfgTOG HTDV HJh WuKHkn Dc Mbtc unE dc YwKvP', True]
['HJH hTdv oQZeD OqZED HGatOs dC vJ htdv yWKVp dC Dc uvDoO DEQUCiGLA Dc nnrNBWRD', True]
['NnRNbWRD deQUcIglA OQzeD QsHrTlr oqzed dC MBTc une YwKvP wUKHkN dC MbTC htdV dc hJh', True]
['NNRNbWrD OclPidykRr hGaTOS MsOxfsl mSoXFSl Dc KzKkMzQCpo Une ywkvP wukHkN WukHkN JH DEqUcIgLA wuKHkN NnRNbwrd', True]
