['vAUaRgbcO', ['Q', ['xnVzisV'], ['pfJNeWjWMx'], ['Q'], ['jdTh']], ['fDygjFHn', ['wxlbJ'], ['vAUaRgbcO'], ['wxlbJ']], ['jdTh', ['rEJcmf'], ['Q'], ['fDygjFHn'], ['klLdOFnEu']], ['AHGuKfaE', ['fDygjFHn'], ['jdTh']]]
{'HDTamM': ['eCxgk', 'bXgBAm', 'GefdLyxSc', 'OyW', 'puxqkHdn', 'xgRUUGhQ', 'ZHIxKYSL', 'fnqubSAVr', 'pklEp', 'Jx', 'UEOadgT', 'ErsOcSb', 'xV', 'cQQzmRc'], 'jdTh': ['zhqCpf', 'y', 'WME', 'VpiuoqMFBS', 'YT', 'ovHpQzxf', 'bW', 'Td', 'LFKIqJh', 'cqbVIUpu', 'jA', 'NHROcKi', 'A', 'mzvysFUBK'], 'wxlbJ': ['k', 'Eo', 'd', 'xT', 'SEHtAEMHOI', 'YFxeFw'], 'xnVzisV': ['Y', 'rkvDmaA', 'P', 'xv', 'RqN', 'lQm', 'YA', 'YgXvjnRm', 'BqTOv', 'HfQAd', 'qmp', 'cZVPbNDJ', 'NXc'], 'oSQ': ['yzrcZBP', 'ucGw'], 'vAUaRgbcO': ['XJnnRQl', 'LsmIWoDP', 'l', 'z', 'JHbNoMP', 'IxXaNg', 'VG', 'TFkDNkxuu', 'xYa', 'qS', 'FhEqeMjbMg', 'kmTol', 'mSu'], 'oCNb': ['YGvMDGoKoG', 'ThE', 'EldEflB', 'kT', 'yYiVv', 'zPlHoUweH', 'QoAyegy', 'Mcmy', 'IiiZSapA', 'QLwmmN', 'eBrLDSyK', 'LnxZvqmT', 'tqOtqIOUch', 'jg'], 'JMpT': ['duygZ', 'DSkK', 's', 'YqLxoNy', 'rUmJz', 'EcL', 'jdUM', 'ElkHuK', 'yffurc', 'BxFlNRwQw', 'EmNkDp'], 'pfJNeWjWMx': ['JvNXoc', 'CqEbMJM', 'fBQkFpeXM', 'fK', 'nfXghG', 'V', 'PyM'], 'klLdOFnEu': ['CqvOYAI', 'NaTuh', 'SyUh', 'HdE', 'TnvzlmOW', 'iCmSCnFG', 'lsQsMLvcf', 'kEYHjgcR', 'dpOrKS', 'exH', 'WBUib', 'MidErwhR'], 'fDygjFHn': ['lHThzXoydM', 'lmVtrB', 'TIO', 'rqYCW', 'hRg'], 'AHGuKfaE': ['stzZZXfr', 'wJCjTqEFw', 'zsadkI', 'YSm', 'UKz', 'aLlFTup', 'rvnLB', 'OIlDv', 'kMWcAmVN', 'fKyChYKe', 'CzSpbYW', 'IUuKR', 'hKs', 'cBuX', 'Vd'], 'Q': ['VrSsCQi', 'mgvsedu', 'dUnl', 'tgRCnsQKou', 'Dy', 'KI', 'BdUZaLhbcQ', 'hrVxVoqyYY', 'aEPWRvea', 'pwuzgqt'], 'dKWjHt': ['AYqMv', 'wmpvyyV', 'b', 'TUBT', 'r', 'EIzxxdOg', 'oIsvbPXKuI', 'egTJnZ', 'QLOmfhHQr', 'SPhRXSr', 'lvMPsvBfA'], 'rEJcmf': ['E', 'Ag', 'arDEgxjw', 'SWgaK', 'kCeLFt', 'pPYrS', 'qjV', 'tUOnaClvOV', 'bN'], 'Y': ['g', 'hk', 'FlqYMiinh', 'uJMIhL', 'G', 'kjZv', 'ewOoWlEm', 'XEoaqx', 'T', 'MAwMC'], 'OyC': ['BcCirP', 'XJBplfNA', 'TejINq', 'eLOgP', 'VgPUtJfXxm', 'bdrqIVdMJA', 'iTG', 'dMOvObswtp', 'kXkEAzA', 'JSwxZUNN', 'c', 'ygBRfHy', 'Bm', 'DLGISJTqqV', 'AcxUxWvWxB'], 'bJNUCNOG': ['KvC', 'dIQDOlnX', 'JWJEDS', 'VGiJncoBqM', 'yDvgPL', 'yoncMmkA', 'hdMRD', 'LRyIy', 'hKI', 'uQGGEXVtX', 'lEQCc', 'WmjuIWqz']}
100
['YA V VrsscqI cqBVIUPU XT z xT E dY HRg Exh tiO Y', True]
['y pYm dUnl MZvYSFubK seHtaemHoi fheQemjbmg d SwGaK ki RQycW MiDErWhr lHtHzXoyDM VPiuoqmfbS', True]
['bQTov cqEBMjm Ki NhROcKI d FHEqemJBMg Eo qJv mgVsEdu rqyCW tNVzlmOw TiO TD', True]
['RuMjZ nXC YZRCzBP StzzzXFR sEhTaemHOI AlLFtUp RQN EWOowLEM V hKS hDe KcelFT VGIJnCobQm QmP A eXh', False]
['k xV QOaYEgy MgvSeDU ITg rkVDmAA mCMY CzvpBNdJ sTzZzxFr', False]
['Xv fBQKfpExM mgvseDU mZvYsfUbk yFxEFW L eo sWGAk duNL lHthzXoydm dpoRKs LhthzXoYdM wmE', True]
['Xv FBqKFPexm dy BW XT FheqEmJBmG k bn TgrCNSQkoU TiO LSQsMlvCf tiO Yt', True]
['LQM fK Dy bw k jhbNoMP yFxEfw swGaK KI rQycW exH tIo Wme', True]
['DuNl p DLgiSJtQQv WMjUiwQZ LMvtrB YsM l bW g TfkdnkXuu lFkiqjh jhbnoMP UKz swGak TuoNAClvov', False]
['nXC FBqkFpeXM BduZaLHBcQ ovhpQZXf YFxeFw z d tuoNAClVOv Ki hrg lsQSMlVcF TIO mZvysfUBk', True]
['Y FBQKFPExM dy MZvySfubk xT XyA K QJV pwUzgQT tiO wBUIb hRg Bw', True]
['qMP JVNXoc mgvseDU cQBViupU Xt FHEqeMjBmG D arDEGxJw BDUzAlHbCq lHThZXOYDM NatUh TIo a', True]
['p PYm ki LFKIqJH SeHtaemhOI kMtol k ARDeGxjW MGvSEDU lHthZXOyDm exh lmvtrb Bw', True]
['lvMPSvBFA G elogp Tubt naTUH ygXvJNrM vrsSCQi kEYHJGcr IcMScNfg bXgbaM nHroCki AyqMV LfKiQJh aePWRveA aepWRvea TEjInq', False]
['p V AepwRVeA mzvYSfubK xt Vg XT ARDEgxjw AEPWRVEA lhTHzXoYDM lsqSMLVCf tio zHQCpF', True]
['yGXVJnRM nfxGhG HrVxVOqyyy ZHQcPF Xt l yfxeFw qjV duNL LhTHzxOYDm EXh LhTHZxOYdm lfkIQjh', True]
['QMP fK MgVsEdu LFkIqJh k fHeQemjBMg sEHtaEMhOI SWGAK HrVXvOQyyY tiO dPOrKS LMVTRB VpIuOqmfBs', True]
['LQm pYm DUNl WmE xt Z yfxefw ArDeGXjw VrSscQi LmvtRB WbUib tIo ovHPqZxf', True]
['OilDv g yGBRfhy SeHtAEmHOI diQdoLNx D LRYIY OiLdv aEpwRVEA eO qjV Bw', False]
['WjCjTQefw YFfURc hRG qMp CZvPbNDJ THE ukZ kI KmwCAmVN b DUnl bDUzALHbCQ DSKK mAwMc ThE', False]
['nxC v tGrCNSQKou JA SeHTAEMHoI l SEHtAEmhoI SwGaK TgrcnsQKOU LhThZXOyDM HdE RqYcW a', True]
['QMp CQebMJm HRvXVoQyYY nHRocki yfxefw fHEqEmjBMg yFXefw PPYRS HrVXvoQyyy HRg wBUIb lhThZxoydm Wme', True]
['yA pym Mgvsedu cqbviuPu K xya Xt swgak dy RQyCW lSqsMlVCF LHthzXOYDM OVhPqZXF', True]
['td p lqM xJnNrQL exH d iXxAng ZpLhOUWEH hRg xv RvNlb', False]
['p PYm VRSSCQI y d IXXAng xt ArDEgxJW bDuzAlHbCQ rQYCw DPoRkS tio CQBViupU', True]
['y PyM bdUZALHbCq lfKiqjH YFXeFW TFkdnkXUu XT tUONAclvov Mgvsedu LhtHzXOYdm WBUib lhtHZxoYDm a', True]
['XYA ELkHuK fHeQemJBMG Pym ygXVJnrm LsQsmlvcF nHrOCkI VPIUOqMFbs wbUIb eLKhUK CqqZMrC D OvhPQzxf', False]
['p v VRsScQI bW YFxefw tfKDnKXuu sEhTaemhOi PPYrS Dunl lMvtrb NAtUH lmvTrb wME', True]
['ayQmv DporKs Y Y XgRUughq uQGGexvtX lhthZXoYdm JVNXOC D AllfTUp', False]
